Carpark Number,Carpark Type,Type of Parking System,Address
HG95,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,BLK 105 HOUGANG AVENUE 1
HG96,SURFACE CAR PARK,ELECTRONIC PARKING,BLK 108 HOUGANG AVENUE 1
HG97,SURFACE CAR PARK,ELECTRONIC PARKING,BLK 804 HOUGANG AVENUE 10
HG98,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,BLK 988 BUANGKOK GREEN
HG99,SURFACE CAR PARK,ELECTRONIC PARKING,BLK 174A-174D HOUGANG AVENUE 1
HLM,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,BLK 533A HONG LIM MSCP
HRM,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,BLK 96 HENDERSON ROAD
HR1,SURFACE CAR PARK,ELECTRONIC PARKING,BLK 1-3 HAIG ROAD
HR2,SURFACE CAR PARK,ELECTRONIC PARKING,BLK 4-6 HAIG ROAD
HR3,SURFACE CAR PARK,ELECTRONIC PARKING,BLK 7 TO 9 HAIG ROAD
HR4,SURFACE CAR PARK,ELECTRONIC PARKING,BLK 10 TO 14 HAIG ROAD
HR5,SURFACE CAR PARK,ELECTRONIC PARKING,BLK 21 TO 23 HAIG ROAD
HVM,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,BLK 51 HAVELOCK ROAD
H11,SURFACE CAR PARK,COUPON PARKING,BLK 34 JALAN BUKIT HO SWEE
H12,SURFACE CAR PARK,ELECTRONIC PARKING,BLK 1/5 DELTA AVENUE
H14,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,BLK 96 HAVELOCK ROAD MSCP
H15,SURFACE CAR PARK,COUPON PARKING,BLK 568 GANGES AVENUE
H17,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,BLK 28A BEO CRESCENT
H18,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,BLK 44A HAVELOCK ROAD
H3,SURFACE CAR PARK,ELECTRONIC PARKING,BLK 87 ZION ROAD
H3BL,SURFACE CAR PARK,ELECTRONIC PARKING,"BLK 991A TO 991B,992A TO 992B BUANGKOK LINK"
H3DL,SURFACE CAR PARK,ELECTRONIC PARKING,"BLK 998A TO 998B,999A TO 999B BUANGKOK CRESCENT"
H4,SURFACE CAR PARK,ELECTRONIC PARKING,BLK 22 HAVELOCK ROAD
H42A,SURFACE CAR PARK,COUPON PARKING,"BLK 644,645,652,655 HOUGANG AVENUE 8"
H6,SURFACE CAR PARK,ELECTRONIC PARKING,BLK 77/79 GANGES AVENUE
H6M,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,BLK 78A INDUS ROAD
H8,SURFACE CAR PARK,ELECTRONIC PARKING,BLKS 4-8 TAMAN HO SWEE
H87L,SURFACE CAR PARK,COUPON PARKING,BLK 950 TO 976 HOUGANG AVENUE 9 /STREET 91
H93L,SURFACE CAR PARK,ELECTRONIC PARKING,"BLK 978C TO 981D, 982, 987A TO 988C BUANGKOK CRESCENT/GREEN"
JBM,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,BLK 134A JALAN BUKIT MERAH
JBM2,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,BLK 113A JALAN BUKIT MERAH
JB1,SURFACE CAR PARK,ELECTRONIC PARKING,"BLK 3-5,7,8,4A JALAN BATU"
JB2,SURFACE CAR PARK,ELECTRONIC PARKING,BLK 10-11 JALAN BATU
JB3,SURFACE CAR PARK,ELECTRONIC PARKING,"BLK 6,12,14 KAMPONG ARANG ROAD"
JB4,SURFACE CAR PARK,ELECTRONIC PARKING,"BLK 1,2,9 KAMPONG KAYU"
JCM,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,BLK 2 JOO CHIAT ROAD
JCML,SURFACE CAR PARK,ELECTRONIC PARKING,BLK 2 JOO CHIAT ROAD
JKM,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,BLK 8A JALAN KUKOH MSCP
